
Knight's Tour Path:
+-------+----------------+-------------------------+-------------------------+-----------------+
| Step  | Current Square |       Next Square       | Transition (Chess Not.) | Location (x, y) |
+-------+----------------+-------------------------+-------------------------+-----------------+
|     1 |             a1 |                      b3 |            a1 -> b3     |            11   |
|     2 |             b3 |                      a5 |            b3 -> a5     |            32   |
|     3 |             a5 |                      b7 |            a5 -> b7     |            51   |
|     4 |             b7 |                      a9 |            b7 -> a9     |            72   |
|     5 |             a9 |                      b; |            a9 -> b;     |            91   |
|     6 |             b; |                      a= |            b; -> a=     |           112   |
|     7 |             a= |                      b? |            a= -> b?     |           131   |
|     8 |             b? |                      d@ |            b? -> d@     |           152   |
|     9 |             d@ |                      f? |            d@ -> f?     |           164   |
|    10 |             f? |                      h@ |            f? -> h@     |           156   |
|    11 |             h@ |                      j? |            h@ -> j?     |           168   |
|    12 |             j? |                      l@ |            j? -> l@     |           160   |
|    13 |             l@ |                      n? |            l@ -> n?     |           172   |
|    14 |             n? |                      p@ |            n? -> p@     |           164   |
|    15 |             p@ |                      o> |            p@ -> o>     |           176   |
|    16 |             o> |                      p< |            o> -> p<     |           155   |
|    17 |             p< |                      o: |            p< -> o:     |           136   |
|    18 |             o: |                      p8 |            o: -> p8     |           115   |
|    19 |             p8 |                      o6 |            p8 -> o6     |            96   |
|    20 |             o6 |                      p4 |            o6 -> p4     |            75   |
|    21 |             p4 |                      o2 |            p4 -> o2     |            56   |
|    22 |             o2 |                      m1 |            o2 -> m1     |            35   |
|    23 |             m1 |                      k2 |            m1 -> k2     |            23   |
|    24 |             k2 |                      i1 |            k2 -> i1     |            31   |
|    25 |             i1 |                      g2 |            i1 -> g2     |            19   |
|    26 |             g2 |                      e1 |            g2 -> e1     |            27   |
|    27 |             e1 |                      c2 |            e1 -> c2     |            15   |
|    28 |             c2 |                      a3 |            c2 -> a3     |            23   |
|    29 |             a3 |                      b1 |            a3 -> b1     |            31   |
|    30 |             b1 |                      d2 |            b1 -> d2     |            12   |
|    31 |             d2 |                      f1 |            d2 -> f1     |            24   |
|    32 |             f1 |                      h2 |            f1 -> h2     |            16   |
|    33 |             h2 |                      j1 |            h2 -> j1     |            28   |
|    34 |             j1 |                      i3 |            j1 -> i3     |            20   |
|    35 |             i3 |                      h1 |            i3 -> h1     |            39   |
|    36 |             h1 |                      j2 |            h1 -> j2     |            18   |
|    37 |             j2 |                      l1 |            j2 -> l1     |            30   |
|    38 |             l1 |                      m3 |            l1 -> m3     |            22   |
|    39 |             m3 |                      n1 |            m3 -> n1     |            43   |
|    40 |             n1 |                      p2 |            n1 -> p2     |            24   |
|    41 |             p2 |                      o4 |            p2 -> o4     |            36   |
|    42 |             o4 |                      p6 |            o4 -> p6     |            55   |
|    43 |             p6 |                      o8 |            p6 -> o8     |            76   |
|    44 |             o8 |                      p: |            o8 -> p:     |            95   |
|    45 |             p: |                      o< |            p: -> o<     |           116   |
|    46 |             o< |                      p> |            o< -> p>     |           135   |
|    47 |             p> |                      o@ |            p> -> o@     |           156   |
|    48 |             o@ |                      m? |            o@ -> m?     |           175   |
|    49 |             m? |                      k@ |            m? -> k@     |           163   |
|    50 |             k@ |                      i? |            k@ -> i?     |           171   |
|    51 |             i? |                      g@ |            i? -> g@     |           159   |
|    52 |             g@ |                      h> |            g@ -> h>     |           167   |
|    53 |             h> |                      i@ |            h> -> i@     |           148   |
|    54 |             i@ |                      k? |            i@ -> k?     |           169   |
|    55 |             k? |                      m@ |            k? -> m@     |           161   |
|    56 |             m@ |                      o? |            m@ -> o?     |           173   |
|    57 |             o? |                      p= |            o? -> p=     |           165   |
|    58 |             p= |                      n> |            p= -> n>     |           146   |
|    59 |             n> |                      p? |            n> -> p?     |           154   |
|    60 |             p? |                      n@ |            p? -> n@     |           166   |
|    61 |             n@ |                      m> |            n@ -> m>     |           174   |
|    62 |             m> |                      o= |            m> -> o=     |           153   |
|    63 |             o= |                      p; |            o= -> p;     |           145   |
|    64 |             p; |                      n< |            p; -> n<     |           126   |
|    65 |             n< |                      l= |            n< -> l=     |           134   |
|    66 |             l= |                      m; |            l= -> m;     |           142   |
|    67 |             m; |                      n= |            m; -> n=     |           123   |
|    68 |             n= |                      l> |            n= -> l>     |           144   |
|    69 |             l> |                      j= |            l> -> j=     |           152   |
|    70 |             j= |                      l< |            j= -> l<     |           140   |
|    71 |             l< |                      k> |            l< -> k>     |           132   |
|    72 |             k> |                      j@ |            k> -> j@     |           151   |
|    73 |             j@ |                      l? |            j@ -> l?     |           170   |
|    74 |             l? |                      m= |            l? -> m=     |           162   |
|    75 |             m= |                      n; |            m= -> n;     |           143   |
|    76 |             n; |                      o9 |            n; -> o9     |           124   |
|    77 |             o9 |                      p7 |            o9 -> p7     |           105   |
|    78 |             p7 |                      n8 |            p7 -> n8     |            86   |
|    79 |             n8 |                      p9 |            n8 -> p9     |            94   |
|    80 |             p9 |                      o; |            p9 -> o;     |           106   |
|    81 |             o; |                      m: |            o; -> m:     |           125   |
|    82 |             m: |                      k; |            m: -> k;     |           113   |
|    83 |             k; |                      m< |            k; -> m<     |           121   |
|    84 |             m< |                      n: |            m< -> n:     |           133   |
|    85 |             n: |                      l9 |            n: -> l9     |           114   |
|    86 |             l9 |                      m7 |            l9 -> m7     |           102   |
|    87 |             m7 |                      n9 |            m7 -> n9     |            83   |
|    88 |             n9 |                      o7 |            n9 -> o7     |           104   |
|    89 |             o7 |                      n5 |            o7 -> n5     |            85   |
|    90 |             n5 |                      o3 |            n5 -> o3     |            64   |
|    91 |             o3 |                      p1 |            o3 -> p1     |            45   |
|    92 |             p1 |                      n2 |            p1 -> n2     |            26   |
|    93 |             n2 |                      p3 |            n2 -> p3     |            34   |
|    94 |             p3 |                      o1 |            p3 -> o1     |            46   |
|    95 |             o1 |                      n3 |            o1 -> n3     |            25   |
|    96 |             n3 |                      o5 |            n3 -> o5     |            44   |
|    97 |             o5 |                      n7 |            o5 -> n7     |            65   |
|    98 |             n7 |                      m9 |            n7 -> m9     |            84   |
|    99 |             m9 |                      l; |            m9 -> l;     |           103   |
|   100 |             l; |                      k= |            l; -> k=     |           122   |
|   101 |             k= |                      i> |            k= -> i>     |           141   |
|   102 |             i> |                      j< |            i> -> j<     |           149   |
|   103 |             j< |                      k: |            j< -> k:     |           130   |
|   104 |             k: |                      l8 |            k: -> l8     |           111   |
|   105 |             l8 |                      m6 |            l8 -> m6     |            92   |
|   106 |             m6 |                      l4 |            m6 -> l4     |            73   |
|   107 |             l4 |                      m2 |            l4 -> m2     |            52   |
|   108 |             m2 |                      n4 |            m2 -> n4     |            33   |
|   109 |             n4 |                      p5 |            n4 -> p5     |            54   |
|   110 |             p5 |                      n6 |            p5 -> n6     |            66   |
|   111 |             n6 |                      m8 |            n6 -> m8     |            74   |
|   112 |             m8 |                      l: |            m8 -> l:     |            93   |
|   113 |             l: |                      k< |            l: -> k<     |           112   |
|   114 |             k< |                      j> |            k< -> j>     |           131   |
|   115 |             j> |                      i< |            j> -> i<     |           150   |
|   116 |             i< |                      j: |            i< -> j:     |           129   |
|   117 |             j: |                      k8 |            j: -> k8     |           110   |
|   118 |             k8 |                      l6 |            k8 -> l6     |            91   |
|   119 |             l6 |                      m4 |            l6 -> m4     |            72   |
|   120 |             m4 |                      l2 |            m4 -> l2     |            53   |
|   121 |             l2 |                      k4 |            l2 -> k4     |            32   |
|   122 |             k4 |                      m5 |            k4 -> m5     |            51   |
|   123 |             m5 |                      l3 |            m5 -> l3     |            63   |
|   124 |             l3 |                      k1 |            l3 -> k1     |            42   |
|   125 |             k1 |                      j3 |            k1 -> j3     |            21   |
|   126 |             j3 |                      k5 |            j3 -> k5     |            40   |
|   127 |             k5 |                      l7 |            k5 -> l7     |            61   |
|   128 |             l7 |                      k9 |            l7 -> k9     |            82   |
|   129 |             k9 |                      j; |            k9 -> j;     |           101   |
|   130 |             j; |                      i= |            j; -> i=     |           120   |
|   131 |             i= |                      h? |            i= -> h?     |           139   |
|   132 |             h? |                      f@ |            h? -> f@     |           158   |
|   133 |             f@ |                      g> |            f@ -> g>     |           166   |
|   134 |             g> |                      h< |            g> -> h<     |           147   |
|   135 |             h< |                      i: |            h< -> i:     |           128   |
|   136 |             i: |                      j8 |            i: -> j8     |           109   |
|   137 |             j8 |                      k6 |            j8 -> k6     |            90   |
|   138 |             k6 |                      i5 |            k6 -> i5     |            71   |
|   139 |             i5 |                      j7 |            i5 -> j7     |            59   |
