Transitions:
Start: (0, 0)
Move 2: (0, 0) -> (1, 2)
Move 2: (0, 0) -> (2, 1)
Move 3: (1, 2) -> (0, 4)
Move 3: (1, 2) -> (2, 4)
Move 3: (1, 2) -> (3, 3)
Move 3: (1, 2) -> (3, 1)
Move 3: (1, 2) -> (2, 0)
Move 4: (0, 4) -> (1, 6)
Move 4: (0, 4) -> (2, 5)
Move 4: (0, 4) -> (2, 3)
Move 4: (2, 0) -> (0, 1)
Move 4: (2, 0) -> (3, 2)
Move 4: (2, 0) -> (4, 1)
Move 5: (0, 1) -> (1, 3)
Move 5: (0, 1) -> (2, 2)
Move 6: (1, 3) -> (0, 5)
Move 6: (1, 3) -> (3, 4)
Move 7: (0, 5) -> (1, 7)
Move 7: (0, 5) -> (2, 6)
Move 3: (2, 1) -> (0, 2)
Move 3: (2, 1) -> (4, 2)
Move 3: (2, 1) -> (4, 0)
Move 4: (0, 2) -> (1, 4)
Move 4: (0, 2) -> (1, 0)
Move 4: (4, 0) -> (5, 2)
Move 4: (4, 0) -> (6, 1)
Move 4: (3, 3) -> (4, 5)
Move 4: (3, 3) -> (5, 4)
Move 4: (3, 1) -> (4, 3)
Move 4: (3, 1) -> (5, 0)
Move 4: (2, 4) -> (3, 6)
Move 4: (2, 4) -> (0, 3)
Move 6: (2, 2) -> (3, 0)
Move 4: (4, 2) -> (6, 3)
Move 5: (1, 4) -> (0, 6)
Move 5: (1, 4) -> (3, 5)
Move 5: (5, 0) -> (6, 2)
Move 5: (5, 0) -> (7, 1)
Move 5: (4, 1) -> (5, 3)
Move 5: (4, 1) -> (6, 0)
Move 5: (0, 3) -> (1, 5)
Move 5: (0, 3) -> (1, 1)
Move 5: (2, 3) -> (4, 4)
Move 5: (3, 2) -> (5, 1)
Move 5: (2, 5) -> (3, 7)
Move 5: (2, 5) -> (4, 6)
Move 7: (3, 4) -> (5, 5)
Move 5: (4, 3) -> (6, 4)
Move 5: (5, 2) -> (7, 3)
Move 5: (1, 6) -> (0, 8)
Move 5: (1, 6) -> (2, 8)
Move 5: (6, 1) -> (8, 2)
Move 5: (6, 1) -> (8, 0)
Move 5: (4, 5) -> (5, 7)
Move 5: (4, 5) -> (6, 6)
Move 5: (5, 4) -> (7, 5)
Move 5: (3, 6) -> (4, 8)
Move 5: (6, 3) -> (8, 4)
Move 6: (0, 6) -> (1, 8)
Move 6: (0, 6) -> (2, 7)
Move 6: (1, 5) -> (0, 7)
Move 7: (0, 7) -> (1, 9)
Move 7: (2, 7) -> (3, 9)
Move 8: (2, 6) -> (3, 8)
Move 8: (2, 6) -> (4, 7)
Move 6: (3, 5) -> (5, 6)
Move 6: (4, 4) -> (6, 5)
Move 8: (1, 7) -> (0, 9)
Move 8: (1, 7) -> (2, 9)
Move 6: (0, 8) -> (1, 10)
Move 6: (5, 3) -> (7, 4)
Move 6: (5, 3) -> (7, 2)
Move 6: (6, 0) -> (8, 1)
Move 6: (5, 1) -> (7, 0)
Move 6: (6, 2) -> (8, 3)
Move 7: (7, 0) -> (9, 1)
Move 7: (7, 2) -> (9, 3)
Move 6: (7, 1) -> (9, 2)
Move 6: (7, 1) -> (9, 0)
